1、四则运算题目1: 76-34+13=
5451、四则运算题目5451: 6+47+61=
5452、四则运算题目5452: 14+97=
5453、四则运算题目5453: 25-0=
5454、四则运算题目5454: 90+54-13=
5455、四则运算题目5455: 67-58-9=
5456、四则运算题目5456: 2-1+88=
5457、四则运算题目5457: 88+85+10=
5458、四则运算题目5458: 56+45=
5459、四则运算题目5459: 11+84-90=
5460、四则运算题目5460: 50-13=
5461、四则运算题目5461: 83+70+9=
5462、四则运算题目5462: 12-3=
5463、四则运算题目5463: 21+7+29=
5464、四则运算题目5464: 32+70+86=
5465、四则运算题目5465: 55-52+33=
5466、四则运算题目5466: 87-18+41=
5467、四则运算题目5467: 69+97-34=
5468、四则运算题目5468: 51-6=
5469、四则运算题目5469: 33-20=
5470、四则运算题目5470: 23-3=
5471、四则运算题目5471: 20+85-42=
5472、四则运算题目5472: 6-6=
5473、四则运算题目5473: 52+20=
5474、四则运算题目5474: 68-56-6=
5475、四则运算题目5475: 50+25+52=
5476、四则运算题目5476: 38-28+63=
5477、四则运算题目5477: 93+16+7=
5478、四则运算题目5478: 49-43=
5479、四则运算题目5479: 33-24=
5480、四则运算题目5480: 53+2=
5481、四则运算题目5481: 42-31+40=
5482、四则运算题目5482: 62+88=
5483、四则运算题目5483: 23+88=
5484、四则运算题目5484: 38+48=
5485、四则运算题目5485: 94-28=
5486、四则运算题目5486: 6-1=
5487、四则运算题目5487: 54+90-36=
5488、四则运算题目5488: 36-18+90=
5489、四则运算题目5489: 81-24=
5490、四则运算题目5490: 89-86-2=
5491、四则运算题目5491: 47+33=
5492、四则运算题目5492: 14-0+49=
5493、四则运算题目5493: 86-13=
5494、四则运算题目5494: 31+76=
5495、四则运算题目5495: 26+42=
5496、四则运算题目5496: 17+44-52=
5497、四则运算题目5497: 19-16=
5498、四则运算题目5498: 51-39=
5499、四则运算题目5499: 7-0-1=
5500、四则运算题目5500: 38-10=
5501、四则运算题目5501: 14-8=
5502、四则运算题目5502: 34-6=
5503、四则运算题目5503: 96+64=
5504、四则运算题目5504: 13-10+88=
5505、四则运算题目5505: 70-2-23=
5506、四则运算题目5506: 29-9+43=
5507、四则运算题目5507: 82-39=
5508、四则运算题目5508: 13+50=
5509、四则运算题目5509: 36-5-5=
5510、四则运算题目5510: 71-52+80=
5511、四则运算题目5511: 32+49=
5512、四则运算题目5512: 65-38=
5513、四则运算题目5513: 7-2=
5514、四则运算题目5514: 89+68=
5515、四则运算题目5515: 21-7-11=
5516、四则运算题目5516: 86+49=
5517、四则运算题目5517: 6+77+77=
5518、四则运算题目5518: 23+1=
5519、四则运算题目5519: 54-37+26=
5520、四则运算题目5520: 75+36-37=
5521、四则运算题目5521: 66-49-9=
5522、四则运算题目5522: 14-2=
5523、四则运算题目5523: 44-14=
5524、四则运算题目5524: 23-4=
5525、四则运算题目5525: 96-68-19=
5526、四则运算题目5526: 40-25=
5527、四则运算题目5527: 5-0=
5528、四则运算题目5528: 25+31+85=
5529、四则运算题目5529: 6-1-1=
5530、四则运算题目5530: 65-20+71=
5531、四则运算题目5531: 75+90-63=
5532、四则运算题目5532: 75-9=
5533、四则运算题目5533: 11-9-1=
5534、四则运算题目5534: 4-1=
5535、四则运算题目5535: 43+53=
5536、四则运算题目5536: 44+19-26=
5537、四则运算题目5537: 35-33-2=
5538、四则运算题目5538: 24-13=
5539、四则运算题目5539: 46+55=
5540、四则运算题目5540: 91+6+29=
5541、四则运算题目5541: 4-4=
5542、四则运算题目5542: 35-18+52=
5543、四则运算题目5543: 31+79=
5544、四则运算题目5544: 19+22+6=
5545、四则运算题目5545: 55+87-4=
5546、四则运算题目5546: 43+8+72=
5547、四则运算题目5547: 15-13=
5548、四则运算题目5548: 57+62=
5549、四则运算题目5549: 59+68=
5550、四则运算题目5550: 94+61+46=
5551、四则运算题目5551: 50+3+40=
5552、四则运算题目5552: 90-46-5=
5553、四则运算题目5553: 11+89=
5554、四则运算题目5554: 39+69-70=
5555、四则运算题目5555: 71+95+24=
5556、四则运算题目5556: 97+65+7=
5557、四则运算题目5557: 75-73-0=
5558、四则运算题目5558: 60-4=
5559、四则运算题目5559: 41-26+78=
5560、四则运算题目5560: 48+30+47=
5561、四则运算题目5561: 38+48+93=
5562、四则运算题目5562: 97-1+63=
5563、四则运算题目5563: 43-38=
5564、四则运算题目5564: 82-13+95=
5565、四则运算题目5565: 17+17+80=
5566、四则运算题目5566: 0-0=
5567、四则运算题目5567: 58+21+7=
5568、四则运算题目5568: 20+63=
5569、四则运算题目5569: 88-88=
5570、四则运算题目5570: 57+75=
5571、四则运算题目5571: 3+87=
5572、四则运算题目5572: 13-10=
5573、四则运算题目5573: 98+10+79=
5574、四则运算题目5574: 19+0=
5575、四则运算题目5575: 40-18=
5576、四则运算题目5576: 88-8+56=
5577、四则运算题目5577: 63+85+31=
5578、四则运算题目5578: 52+20=
5579、四则运算题目5579: 43-6-23=
5580、四则运算题目5580: 7-5=
5581、四则运算题目5581: 51+46=
5582、四则运算题目5582: 80+18=
5583、四则运算题目5583: 69-35=
5584、四则运算题目5584: 29+25-44=
5585、四则运算题目5585: 49+39+59=
5586、四则运算题目5586: 3-0=
5587、四则运算题目5587: 97+82-8=
5588、四则运算题目5588: 79-12=
5589、四则运算题目5589: 5+74=
5590、四则运算题目5590: 19+24+78=
5591、四则运算题目5591: 85-53=
5592、四则运算题目5592: 39-9-2=
5593、四则运算题目5593: 55-43=
5594、四则运算题目5594: 58+34=
5595、四则运算题目5595: 88+45=
5596、四则运算题目5596: 62+30-19=
5597、四则运算题目5597: 21+81=
5598、四则运算题目5598: 95+98-42=
5599、四则运算题目5599: 75-54=
5600、四则运算题目5600: 2+48-19=
5601、四则运算题目5601: 64-48+40=
5602、四则运算题目5602: 14-14=
5603、四则运算题目5603: 31+84-26=
5604、四则运算题目5604: 87-45=
5605、四则运算题目5605: 70+29-1=
5606、四则运算题目5606: 50+12=
5607、四则运算题目5607: 92-5+20=
5608、四则运算题目5608: 42-29+16=
5609、四则运算题目5609: 33+5=
5610、四则运算题目5610: 53+99+65=
5611、四则运算题目5611: 79+84=
5612、四则运算题目5612: 80-58=
5613、四则运算题目5613: 57+78=
5614、四则运算题目5614: 10+18+27=
5615、四则运算题目5615: 57+94-4=
5616、四则运算题目5616: 36-0=
5617、四则运算题目5617: 60+80=
5618、四则运算题目5618: 40-9-8=
5619、四则运算题目5619: 75-62-13=
5620、四则运算题目5620: 44+51=
5621、四则运算题目5621: 55-3=
5622、四则运算题目5622: 4+99-21=
5623、四则运算题目5623: 53-4+48=
5624、四则运算题目5624: 63+19=
5625、四则运算题目5625: 3-2+36=
5626、四则运算题目5626: 49+14+70=
5627、四则运算题目5627: 28-24-2=
5628、四则运算题目5628: 70-22-21=
5629、四则运算题目5629: 92+47=
5630、四则运算题目5630: 62+77=
5631、四则运算题目5631: 40+27=
5632、四则运算题目5632: 70-36+82=
5633、四则运算题目5633: 97+5-60=
5634、四则运算题目5634: 13+94+77=
5635、四则运算题目5635: 70-17+41=
5636、四则运算题目5636: 93-49=
5637、四则运算题目5637: 15+70=
5638、四则运算题目5638: 64+28-31=
5639、四则运算题目5639: 54+0=
5640、四则运算题目5640: 92+23=
5641、四则运算题目5641: 1-1+96=
5642、四则运算题目5642: 67-22+23=
5643、四则运算题目5643: 41-39-0=
5644、四则运算题目5644: 44+36-44=
5645、四则运算题目5645: 2-2=
5646、四则运算题目5646: 94+7=
5647、四则运算题目5647: 82+29=
5648、四则运算题目5648: 34-11=
5649、四则运算题目5649: 0+33=
5650、四则运算题目5650: 20-19=
5651、四则运算题目5651: 3+78-56=
5652、四则运算题目5652: 72-6=
5653、四则运算题目5653: 37+8-30=
5654、四则运算题目5654: 58-40=
5655、四则运算题目5655: 63-24+2=
5656、四则运算题目5656: 89-20=
5657、四则运算题目5657: 18+29=
5658、四则运算题目5658: 6+93+14=
5659、四则运算题目5659: 96-79+63=
5660、四则运算题目5660: 43+24=
5661、四则运算题目5661: 1+25=
5662、四则运算题目5662: 1-1-0=
5663、四则运算题目5663: 40+44+77=
5664、四则运算题目5664: 61+89-62=
5665、四则运算题目5665: 13+85-16=
5666、四则运算题目5666: 0-0-0=
5667、四则运算题目5667: 80+5+15=
5668、四则运算题目5668: 72+74+55=
5669、四则运算题目5669: 78+99+40=
5670、四则运算题目5670: 0+7-4=
5671、四则运算题目5671: 3-3=
5672、四则运算题目5672: 96+0+46=
5673、四则运算题目5673: 2+74=
5674、四则运算题目5674: 3-2=
5675、四则运算题目5675: 47-3+63=
5676、四则运算题目5676: 90-23=
5677、四则运算题目5677: 79-14-45=
5678、四则运算题目5678: 67+3+32=
5679、四则运算题目5679: 32+68=
5680、四则运算题目5680: 27+65-79=
5681、四则运算题目5681: 81+88-98=
5682、四则运算题目5682: 20+5=
5683、四则运算题目5683: 79+43=
5684、四则运算题目5684: 68-67=
5685、四则运算题目5685: 28+85+43=
5686、四则运算题目5686: 61-52+24=
5687、四则运算题目5687: 50-47-1=
5688、四则运算题目5688: 85+9+52=
5689、四则运算题目5689: 92-82-2=
5690、四则运算题目5690: 17+74+11=
5691、四则运算题目5691: 0+24=
5692、四则运算题目5692: 39+40=
5693、四则运算题目5693: 62-47=
5694、四则运算题目5694: 16+87-83=
5695、四则运算题目5695: 3-1-1=
5696、四则运算题目5696: 78-53=
5697、四则运算题目5697: 92+31-94=
5698、四则运算题目5698: 38+94=
5699、四则运算题目5699: 83+53=
5700、四则运算题目5700: 97+9-67=
5701、四则运算题目5701: 6+40=
5702、四则运算题目5702: 31-6=
5703、四则运算题目5703: 29+42-61=
5704、四则运算题目5704: 99+72+42=
5705、四则运算题目5705: 85+60=
5706、四则运算题目5706: 25-0=
5707、四则运算题目5707: 27-23-3=
5708、四则运算题目5708: 14-8+67=
5709、四则运算题目5709: 40+53-42=
5710、四则运算题目5710: 84-36=
5711、四则运算题目5711: 20+80=
5712、四则运算题目5712: 98-62=
5713、四则运算题目5713: 72+49+45=
5714、四则运算题目5714: 33-20=
5715、四则运算题目5715: 80+89=
5716、四则运算题目5716: 54+69=
5717、四则运算题目5717: 32-5+89=
5718、四则运算题目5718: 63-50-7=
5719、四则运算题目5719: 57+17-64=
5720、四则运算题目5720: 92+89-28=
5721、四则运算题目5721: 95-79=
5722、四则运算题目5722: 90-8+1=
5723、四则运算题目5723: 23-4+74=
5724、四则运算题目5724: 16-6+98=
5725、四则运算题目5725: 21-21+40=
5726、四则运算题目5726: 34+25+31=
5727、四则运算题目5727: 91+59+86=
5728、四则运算题目5728: 58+81+57=
5729、四则运算题目5729: 62-38-14=
5730、四则运算题目5730: 74-70-3=
5731、四则运算题目5731: 39+8=
5732、四则运算题目5732: 76+15-65=
5733、四则运算题目5733: 18-1=
5734、四则运算题目5734: 65+64-30=
5735、四则运算题目5735: 79+80-72=
5736、四则运算题目5736: 58-20+41=
5737、四则运算题目5737: 11+0-6=
5738、四则运算题目5738: 64+33=
5739、四则运算题目5739: 57-45+41=
5740、四则运算题目5740: 86-86+22=
5741、四则运算题目5741: 66+44-49=
5742、四则运算题目5742: 34+27=
5743、四则运算题目5743: 88-57=
5744、四则运算题目5744: 12-10=
5745、四则运算题目5745: 80-28=
5746、四则运算题目5746: 53-20-4=
5747、四则运算题目5747: 0-0-0=
5748、四则运算题目5748: 44-44=
5749、四则运算题目5749: 57+19-49=
5750、四则运算题目5750: 13+10+93=
5751、四则运算题目5751: 32+80-44=
5752、四则运算题目5752: 59-11+75=
5753、四则运算题目5753: 99-94-0=
5754、四则运算题目5754: 24-11-5=
5755、四则运算题目5755: 21+52=
5756、四则运算题目5756: 8+46=
5757、四则运算题目5757: 82-22-13=
5758、四则运算题目5758: 49+8+19=
5759、四则运算题目5759: 32-5+50=
5760、四则运算题目5760: 3+12=
5761、四则运算题目5761: 39+92+45=
5762、四则运算题目5762: 3+23+33=
5763、四则运算题目5763: 34-0-11=
5764、四则运算题目5764: 72+23+22=
5765、四则运算题目5765: 59-53=
5766、四则运算题目5766: 97+59+3=
5767、四则运算题目5767: 61-31-12=
5768、四则运算题目5768: 38+92=
5769、四则运算题目5769: 62-60+15=
5770、四则运算题目5770: 23-3-12=
5771、四则运算题目5771: 49+73=
5772、四则运算题目5772: 7+95+1=
5773、四则运算题目5773: 82+80=
5774、四则运算题目5774: 64-39-9=
5775、四则运算题目5775: 83-17=
5776、四则运算题目5776: 15+56=
5777、四则运算题目5777: 98+73=
5778、四则运算题目5778: 5-1+69=
5779、四则运算题目5779: 85+60=
5780、四则运算题目5780: 30+42=
5781、四则运算题目5781: 77-55=
5782、四则运算题目5782: 2-1=
5783、四则运算题目5783: 27-7-2=
5784、四则运算题目5784: 81-35=
5785、四则运算题目5785: 51-26=
5786、四则运算题目5786: 8-6=
5787、四则运算题目5787: 7+27=
5788、四则运算题目5788: 57+31=
5789、四则运算题目5789: 86-45=
5790、四则运算题目5790: 71+37=
5791、四则运算题目5791: 22+51=
5792、四则运算题目5792: 9-9-0=
5793、四则运算题目5793: 99+60+39=
5794、四则运算题目5794: 42+70+5=
5795、四则运算题目5795: 19-14=
5796、四则运算题目5796: 35-19+22=
5797、四则运算题目5797: 32-1+89=
5798、四则运算题目5798: 83+65=
5799、四则运算题目5799: 92-27=
5800、四则运算题目5800: 39+59+60=
5801、四则运算题目5801: 85-66-11=
5802、四则运算题目5802: 23+10=
5803、四则运算题目5803: 43-26=
5804、四则运算题目5804: 5-5=
5805、四则运算题目5805: 95-81=
5806、四则运算题目5806: 80-46=
5807、四则运算题目5807: 0+84+62=
5808、四则运算题目5808: 52-8-23=
5809、四则运算题目5809: 72-21=
5810、四则运算题目5810: 5-4-0=
5811、四则运算题目5811: 53+75=
5812、四则运算题目5812: 25+51-17=
5813、四则运算题目5813: 61-25+70=
5814、四则运算题目5814: 85+71-30=
5815、四则运算题目5815: 40-11=
5816、四则运算题目5816: 56-15=
5817、四则运算题目5817: 99-3=
5818、四则运算题目5818: 39-7-27=
5819、四则运算题目5819: 91+76=
5820、四则运算题目5820: 53-31+45=
5821、四则运算题目5821: 37-2+28=
5822、四则运算题目5822: 39-0=
5823、四则运算题目5823: 33+55-12=
5824、四则运算题目5824: 19+91=
5825、四则运算题目5825: 83-24=
5826、四则运算题目5826: 97-23=
5827、四则运算题目5827: 70-6=
5828、四则运算题目5828: 49-39=
5829、四则运算题目5829: 3+41=
5830、四则运算题目5830: 3+75=
5831、四则运算题目5831: 22-11=
5832、四则运算题目5832: 92-5+66=
5833、四则运算题目5833: 3+46+27=
5834、四则运算题目5834: 0+73-45=
5835、四则运算题目5835: 76-22=
5836、四则运算题目5836: 24+47=
5837、四则运算题目5837: 8+5=
5838、四则运算题目5838: 26-18+59=
5839、四则运算题目5839: 37+31-64=
5840、四则运算题目5840: 96-44=
5841、四则运算题目5841: 64+99-23=
5842、四则运算题目5842: 13-9=
5843、四则运算题目5843: 92+37+19=
5844、四则运算题目5844: 14+46-36=
5845、四则运算题目5845: 24-5=
5846、四则运算题目5846: 50-46=
5847、四则运算题目5847: 26+97-81=
5848、四则运算题目5848: 82-9=
5849、四则运算题目5849: 95+2=
5850、四则运算题目5850: 26+7-28=
5851、四则运算题目5851: 92+88=
5852、四则运算题目5852: 97-53=
5853、四则运算题目5853: 46+75=
5854、四则运算题目5854: 29+85=
5855、四则运算题目5855: 96-77=
5856、四则运算题目5856: 42-17-5=
5857、四则运算题目5857: 74-24=
5858、四则运算题目5858: 89+31=
5859、四则运算题目5859: 11+73=
5860、四则运算题目5860: 76+51=
5861、四则运算题目5861: 74-21=
5862、四则运算题目5862: 57+97+46=
5863、四则运算题目5863: 28-27=
5864、四则运算题目5864: 70-4=
5865、四则运算题目5865: 32-17=
5866、四则运算题目5866: 42+46-33=
5867、四则运算题目5867: 41-15=
5868、四则运算题目5868: 49+51=
5869、四则运算题目5869: 23+27=
5870、四则运算题目5870: 58+22+91=
5871、四则运算题目5871: 47+46-38=
5872、四则运算题目5872: 52-44=
5873、四则运算题目5873: 66-31+3=
5874、四则运算题目5874: 78+23+27=
5875、四则运算题目5875: 58-15-34=
5876、四则运算题目5876: 35+45-27=
5877、四则运算题目5877: 3+37-39=
5878、四则运算题目5878: 6-0-2=
5879、四则运算题目5879: 63-3-57=
5880、四则运算题目5880: 29+28+2=
5881、四则运算题目5881: 25+81=
5882、四则运算题目5882: 22+79+90=
5883、四则运算题目5883: 65-17=
5884、四则运算题目5884: 18+32=
5885、四则运算题目5885: 75-0=
5886、四则运算题目5886: 47-0+59=
5887、四则运算题目5887: 45-11=
5888、四则运算题目5888: 74-41=
5889、四则运算题目5889: 97+91=
5890、四则运算题目5890: 7-6-1=
5891、四则运算题目5891: 64-9-2=
5892、四则运算题目5892: 68-46=
5893、四则运算题目5893: 60+33+24=
5894、四则运算题目5894: 26+23+18=
5895、四则运算题目5895: 81+48+31=
5896、四则运算题目5896: 73+35-66=
5897、四则运算题目5897: 9-7+60=
5898、四则运算题目5898: 67+88=
5899、四则运算题目5899: 0-0-0=
5900、四则运算题目5900: 84+81+2=
5901、四则运算题目5901: 77-1+1=
5902、四则运算题目5902: 69+22-3=
5903、四则运算题目5903: 50+50=
5904、四则运算题目5904: 71-51=
5905、四则运算题目5905: 64-44=
5906、四则运算题目5906: 7+27-5=
5907、四则运算题目5907: 0+84=
5908、四则运算题目5908: 54+22=
5909、四则运算题目5909: 96-25+39=
5910、四则运算题目5910: 6+20=
5911、四则运算题目5911: 60-31=
5912、四则运算题目5912: 54+63+44=
5913、四则运算题目5913: 20-14+41=
5914、四则运算题目5914: 55+85=
5915、四则运算题目5915: 71-9+45=
5916、四则运算题目5916: 81-32=
5917、四则运算题目5917: 86+67+46=
5918、四则运算题目5918: 85-53=
5919、四则运算题目5919: 4-3+52=
5920、四则运算题目5920: 76+63-33=
5921、四则运算题目5921: 86+2=
5922、四则运算题目5922: 25-25+16=
5923、四则运算题目5923: 80-63=
5924、四则运算题目5924: 9-7=
5925、四则运算题目5925: 45-25=
5926、四则运算题目5926: 95+12=
5927、四则运算题目5927: 51+80-19=
5928、四则运算题目5928: 78+46=
5929、四则运算题目5929: 94+5=
5930、四则运算题目5930: 10+78=
5931、四则运算题目5931: 12-2=
5932、四则运算题目5932: 56+67-54=
5933、四则运算题目5933: 95-26-10=
5934、四则运算题目5934: 82-69=
5935、四则运算题目5935: 76+98-54=
5936、四则运算题目5936: 11+44+61=
5937、四则运算题目5937: 85-12-14=
5938、四则运算题目5938: 18+11=
5939、四则运算题目5939: 60+65=
5940、四则运算题目5940: 51+74=
5941、四则运算题目5941: 64+48-3=
5942、四则运算题目5942: 92+38=
5943、四则运算题目5943: 84+9=
5944、四则运算题目5944: 7+49+37=
5945、四则运算题目5945: 73-9=
5946、四则运算题目5946: 81+67-93=
5947、四则运算题目5947: 67+65-99=
5948、四则运算题目5948: 10+25+82=
5949、四则运算题目5949: 25+25+87=
5950、四则运算题目5950: 66-18=
5951、四则运算题目5951: 10-7-1=
5952、四则运算题目5952: 79+52=
5953、四则运算题目5953: 77-28-19=
5954、四则运算题目5954: 77+34=
5955、四则运算题目5955: 5+96=
5956、四则运算题目5956: 69-2-3=
5957、四则运算题目5957: 61-49-2=
5958、四则运算题目5958: 7+91=
5959、四则运算题目5959: 14+95+59=
5960、四则运算题目5960: 99+29=
5961、四则运算题目5961: 75+33+24=
5962、四则运算题目5962: 30+75+26=
5963、四则运算题目5963: 54-7-40=
5964、四则运算题目5964: 15-12=
5965、四则运算题目5965: 40+36-56=
5966、四则运算题目5966: 49+43=
5967、四则运算题目5967: 70+91=
5968、四则运算题目5968: 75-11=
5969、四则运算题目5969: 40+11=
5970、四则运算题目5970: 22-22=
5971、四则运算题目5971: 69+15-79=
5972、四则运算题目5972: 64+89=
5973、四则运算题目5973: 66-7+29=
5974、四则运算题目5974: 53+64=
5975、四则运算题目5975: 93-12-51=
5976、四则运算题目5976: 74+42-31=
5977、四则运算题目5977: 97-66=
5978、四则运算题目5978: 3-1+80=
5979、四则运算题目5979: 27+31=
5980、四则运算题目5980: 10+86=
5981、四则运算题目5981: 59-29+59=
5982、四则运算题目5982: 10+22=
5983、四则运算题目5983: 67+31+20=
5984、四则运算题目5984: 0+84+25=
5985、四则运算题目5985: 12+20=
5986、四则运算题目5986: 42-7=
5987、四则运算题目5987: 32-4+41=
5988、四则运算题目5988: 13+8=
5989、四则运算题目5989: 99-99-0=
5990、四则运算题目5990: 15-14=
5991、四则运算题目5991: 97-20-48=
5992、四则运算题目5992: 81+65+39=
5993、四则运算题目5993: 6+83=
5994、四则运算题目5994: 83-44=
5995、四则运算题目5995: 67+67-33=
5996、四则运算题目5996: 77+86=
5997、四则运算题目5997: 82-33+75=
5998、四则运算题目5998: 67+12-17=
5999、四则运算题目5999: 53-4-5=
6000、四则运算题目6000: 76+70-22=
6001、四则运算题目6001: 56-32+60=
6002、四则运算题目6002: 24+27=
6003、四则运算题目6003: 5-5-0=
6004、四则运算题目6004: 69-51-5=
6005、四则运算题目6005: 47-29+55=
6006、四则运算题目6006: 8+99+33=
6007、四则运算题目6007: 62-49=
6008、四则运算题目6008: 39-24+54=
6009、四则运算题目6009: 81+95=
6010、四则运算题目6010: 85+76-34=
6011、四则运算题目6011: 23+16+65=
6012、四则运算题目6012: 11-5-5=
6013、四则运算题目6013: 3-0=
6014、四则运算题目6014: 39+45-61=
6015、四则运算题目6015: 5-5=
6016、四则运算题目6016: 61-53=
6017、四则运算题目6017: 24+96+20=
6018、四则运算题目6018: 47+21-44=
6019、四则运算题目6019: 76-59-9=
6020、四则运算题目6020: 79+63+26=
6021、四则运算题目6021: 8-8-0=
6022、四则运算题目6022: 94+65-85=
6023、四则运算题目6023: 76-67=
6024、四则运算题目6024: 28-20=
6025、四则运算题目6025: 50-28+53=
6026、四则运算题目6026: 65+58=
6027、四则运算题目6027: 69-54=
6028、四则运算题目6028: 30+96-77=
6029、四则运算题目6029: 80+31=
6030、四则运算题目6030: 9+31+43=
6031、四则运算题目6031: 86+29-90=
6032、四则运算题目6032: 8+98-99=
6033、四则运算题目6033: 98-60=
6034、四则运算题目6034: 99+19+10=
6035、四则运算题目6035: 11-0=
6036、四则运算题目6036: 26-11=
6037、四则运算题目6037: 19+83=
6038、四则运算题目6038: 73+90=
6039、四则运算题目6039: 35+60=
6040、四则运算题目6040: 88-70+46=
6041、四则运算题目6041: 13-2=
6042、四则运算题目6042: 98-96+93=
6043、四则运算题目6043: 74-66=
6044、四则运算题目6044: 28+10-19=
6045、四则运算题目6045: 82+73=
6046、四则运算题目6046: 71+8=
6047、四则运算题目6047: 9-1+30=
6048、四则运算题目6048: 78-8-24=
6049、四则运算题目6049: 67+68+13=
6050、四则运算题目6050: 39+12-46=
6051、四则运算题目6051: 71+47=
6052、四则运算题目6052: 65-5=
6053、四则运算题目6053: 91+45+56=
6054、四则运算题目6054: 22+15=
6055、四则运算题目6055: 15+41=
6056、四则运算题目6056: 84-28+54=
6057、四则运算题目6057: 7-3-3=
6058、四则运算题目6058: 52+32=
6059、四则运算题目6059: 97+49=
6060、四则运算题目6060: 41+86-56=
6061、四则运算题目6061: 45+69+21=
6062、四则运算题目6062: 99-17=
6063、四则运算题目6063: 24+4=
6064、四则运算题目6064: 84-83=
6065、四则运算题目6065: 17-17+1=
6066、四则运算题目6066: 59-9+54=
6067、四则运算题目6067: 19-5-3=
6068、四则运算题目6068: 90-58+17=
6069、四则运算题目6069: 44+57+62=
6070、四则运算题目6070: 33-29=
6071、四则运算题目6071: 7-4+37=
6072、四则运算题目6072: 96+33=
6073、四则运算题目6073: 44-12+92=
6074、四则运算题目6074: 83-29-15=
6075、四则运算题目6075: 80-7-51=
6076、四则运算题目6076: 20-13-6=
6077、四则运算题目6077: 15-4-6=
6078、四则运算题目6078: 87+20=
6079、四则运算题目6079: 4+41+54=
6080、四则运算题目6080: 13+48=
6081、四则运算题目6081: 83-71=
6082、四则运算题目6082: 26-26-0=
6083、四则运算题目6083: 7+4=
6084、四则运算题目6084: 0+87-39=
6085、四则运算题目6085: 29-11-10=
6086、四则运算题目6086: 92-77=
6087、四则运算题目6087: 6+64=
6088、四则运算题目6088: 31-17=
6089、四则运算题目6089: 32-11=
6090、四则运算题目6090: 17-10+28=
6091、四则运算题目6091: 61+11=
6092、四则运算题目6092: 92+25-13=
6093、四则运算题目6093: 66+16=
6094、四则运算题目6094: 86-73=
6095、四则运算题目6095: 49-5=
6096、四则运算题目6096: 55+32-9=
6097、四则运算题目6097: 28+34-62=
6098、四则运算题目6098: 58-35-18=
6099、四则运算题目6099: 1+86=
6100、四则运算题目6100: 35-10=
6101、四则运算题目6101: 1-0+5=
6102、四则运算题目6102: 75+35=
6103、四则运算题目6103: 99-58-31=
6104、四则运算题目6104: 57+52=
6105、四则运算题目6105: 11-6=
6106、四则运算题目6106: 86-66+36=
6107、四则运算题目6107: 47+55=
6108、四则运算题目6108: 40+87=
6109、四则运算题目6109: 71+47=
6110、四则运算题目6110: 14+9-21=
6111、四则运算题目6111: 42-33=
6112、四则运算题目6112: 38+42-34=
6113、四则运算题目6113: 67+36=
6114、四则运算题目6114: 30-5=
6115、四则运算题目6115: 45-23+19=
6116、四则运算题目6116: 7-4-1=
6117、四则运算题目6117: 11-5=
6118、四则运算题目6118: 79-2=
6119、四则运算题目6119: 92+23+92=
6120、四则运算题目6120: 49-31=
6121、四则运算题目6121: 27-8=
6122、四则运算题目6122: 25-25-0=
6123、四则运算题目6123: 4+33=
6124、四则运算题目6124: 10-5-1=
6125、四则运算题目6125: 87+91=
6126、四则运算题目6126: 78+37=
6127、四则运算题目6127: 84+85-28=
6128、四则运算题目6128: 11+39-46=
6129、四则运算题目6129: 19+87=
6130、四则运算题目6130: 31+17=
6131、四则运算题目6131: 85-30-13=
6132、四则运算题目6132: 9+67=
6133、四则运算题目6133: 40+52+69=
6134、四则运算题目6134: 61+58=
6135、四则运算题目6135: 5+55=
6136、四则运算题目6136: 52+68=
6137、四则运算题目6137: 90+15=
6138、四则运算题目6138: 33+87-24=
6139、四则运算题目6139: 74-73+45=
6140、四则运算题目6140: 57+28+12=
6141、四则运算题目6141: 20+95=
6142、四则运算题目6142: 13-4=
6143、四则运算题目6143: 44+93=
6144、四则运算题目6144: 2+33-8=
6145、四则运算题目6145: 39-32=
6146、四则运算题目6146: 5-3=
6147、四则运算题目6147: 52-26+81=
6148、四则运算题目6148: 0+30+99=
6149、四则运算题目6149: 90+88-95=
6150、四则运算题目6150: 65-63-0=
6151、四则运算题目6151: 74+58-65=
6152、四则运算题目6152: 58+65=
6153、四则运算题目6153: 71-40=
6154、四则运算题目6154: 86-26+71=
6155、四则运算题目6155: 27+49-51=
6156、四则运算题目6156: 44+64=
6157、四则运算题目6157: 84+91+42=
6158、四则运算题目6158: 75+61=
6159、四则运算题目6159: 31-2+82=
6160、四则运算题目6160: 37-24=
6161、四则运算题目6161: 12+73=
6162、四则运算题目6162: 58-39=
6163、四则运算题目6163: 80-32=
6164、四则运算题目6164: 53+65=
6165、四则运算题目6165: 87-66-17=
6166、四则运算题目6166: 66+69+81=
6167、四则运算题目6167: 50-23-6=
6168、四则运算题目6168: 15+43=
6169、四则运算题目6169: 89-43-1=
6170、四则运算题目6170: 30-17+89=
6171、四则运算题目6171: 40-8=
6172、四则运算题目6172: 3+2+97=
6173、四则运算题目6173: 29-13=
6174、四则运算题目6174: 19-8-2=
6175、四则运算题目6175: 13-10+56=
6176、四则运算题目6176: 19+85=
6177、四则运算题目6177: 29-15+33=
6178、四则运算题目6178: 69+51=
6179、四则运算题目6179: 97+64=
6180、四则运算题目6180: 2-0-2=
6181、四则运算题目6181: 56+32=
6182、四则运算题目6182: 47-31=
6183、四则运算题目6183: 8-0+44=
6184、四则运算题目6184: 23+78=
6185、四则运算题目6185: 12-4=
